client_id,first name,last name,email,address,phone,nationality,date_of_birth
1,Christopher,Pickering,christopher.pickering@gmail.com,"chemin Droz, 8311 Jomini",089 922 93 75,American,1970-10-06
2,Nelly,Watts,nelly.watts@gmail.com,"11278 Galloway Row, Harrishaven, WV 10842",978.394.3912,American,1984-03-18
3,Irena,May,irena.may@gmail.com,"boulevard Jomini 55, 6023 Broquet",+41 (0)73 151 44 92,British,1979-06-01
4,Hannah,Lambert,hannah.lambert@gmail.com,"748 Eric Circles, Hollandstad, GA 75935",885.404.6589x31733,American,1944-06-10
5,Rita,Bühlmann,rita.bühlmann@gmail.com,"Unit 2026 Box 5170, DPO AA 12581",(748)865-7316x65108,Italian,1982-12-05
6,Chad,Masseron,chad.masseron@gmail.com,"0 Paula shoals, Karlhaven, DE0V 4EB",892-549-3212x40970,American,1995-12-25
7,Käthe,Jost,käthe.jost@gmail.com,"Lehmannstrasse 16, 5539 Reinach",3125879142,British,1981-02-24
8,Sherry,Arnold,sherry.arnold@gmail.com,"73048 Campos Locks, New Dominique, MD 79215",287-777-6630x88103,Italian,2005-06-04
9,Robert,Brown,robert.brown@gmail.com,"Blaserstrasse 478, 2926 Lausanne",248-872-2782x125,German,1959-07-08
10,Rhonda,Deladoëy,rhonda.deladoëy@gmail.com,"53 Gregory circle, Joeport, G6D 1AZ",678-664-0547,Swiss,1952-07-31
11,Arthur,Jenkins,arthur.jenkins@gmail.com,"rue Mayor, 8602 Mottet-Dessous",(0131)4960479,British,1958-07-12
12,Jamie,Patterson,jamie.patterson@gmail.com,"7 Caroline radial, Gilbertchester, HU8 4BG",+44(0)151 496 0280,Italian,1969-07-05
13,Josiane,Carraux,josiane.carraux@gmail.com,"477 Margaret Curve Suite 026, South Anna, NM 32056",+4420 7496 0413,French,1985-01-26
14,Serge,Mccullough,serge.mccullough@gmail.com,"Käserstrasse 2, 5189 Zollikon",001-294-881-4394x3696,Swiss,1963-12-09
15,Terry,Fankhauser,terry.fankhauser@gmail.com,"USS Ferrell, FPO AE 09523",(378)961-7326,German,1997-04-16
16,Joseph,Ball,joseph.ball@gmail.com,"rue de Corboz 35, 1109 Wicht-la-Ville",694.849.9545x31205,Swiss,1996-12-28
17,Beth,Hunziker,beth.hunziker@gmail.com,"PSC 3513, Box 4503, APO AA 57719",+41 90 823 39 76,French,1976-04-28
18,Kevin,Lutz,kevin.lutz@gmail.com,"boulevard Cornut 40, 4073 Candaux",0118 496 0612,French,1951-02-02
19,Lauren,Kerr,lauren.kerr@gmail.com,"Eichenbergerstrasse 177, 6345 Zug",630.546.6884,German,2000-04-12
20,Felicia,Webb,felicia.webb@gmail.com,"Kuhnstrasse 280, 4609 Sarnen",001-779-400-0700x75944,Swiss,1956-09-15
21,René,Martinez,rené.martinez@gmail.com,"Unit 6330 Box 1783, DPO AA 60120",8074389429,British,1989-10-07
22,Sandrine,Fonjallaz,sandrine.fonjallaz@gmail.com,"USNV Hill, FPO AP 88181",+41 (0)91 677 72 77,German,1947-03-26
23,Elodie,Smith,elodie.smith@gmail.com,"Lustenbergerstrasse 96, 5163 Urdorf",001-331-835-0187,American,1998-10-20
24,Robert,Wehrli,robert.wehrli@gmail.com,"chemin de Comman 5, 7554 Saint Humbert",(333)896-5033x496,French,1989-05-05
25,Sara,Steiger,sara.steiger@gmail.com,"26479 Beth Crescent Apt. 096, South Thomasville, NY 63482",+44116 496 0369,Italian,1975-12-07
