account_id,client_id,account_type,balance,creation_date,currency
N757353,1,checking,20053.12,2018-07-30,CHF
U344309,2,brokerage,19314.75,2011-10-19,CHF
Z108909,2,brokerage,71314.06,2024-05-02,CHF
F762386,2,brokerage,67264.27,2015-12-30,CHF
C186619,3,savings,18287.09,1998-11-29,CHF
D146812,3,savings,69149.1,2016-02-09,CHF
N946581,4,savings,13958.98,2003-02-23,CHF
R348340,5,savings,54773.61,2009-05-16,CHF
V876137,6,checking,31574.56,2021-11-11,CHF
P435746,6,checking,91452.74,2017-11-09,CHF
L369879,6,checking,88622.78,2017-01-19,CHF
Q798392,7,checking,69900.24,2005-03-07,CHF
B949691,8,checking,53529.93,2024-06-02,CHF
Y624823,8,savings,63200.73,2023-07-22,CHF
D958528,8,brokerage,60678.56,2024-10-19,CHF
K138332,9,brokerage,49868.55,2009-02-07,CHF
N588853,9,checking,65543.93,2018-10-18,CHF
E902438,10,savings,44678.97,1982-06-06,CHF
A513378,10,checking,40163.75,2005-05-24,CHF
E514621,10,savings,93760.98,1980-09-15,CHF
Q614450,11,brokerage,53006.81,1997-12-08,CHF
N564210,11,checking,98078.51,1979-04-23,CHF
U935162,12,savings,52473.01,2024-06-03,CHF
W181334,13,checking,16901.09,2012-06-21,CHF
Z335063,13,checking,89518.7,2005-07-17,CHF
J575777,14,brokerage,85797.71,2024-12-24,CHF
K206941,14,checking,27627.9,2012-09-30,CHF
P577168,15,checking,57792.49,2022-11-24,CHF
Y901236,16,savings,35752.85,2021-03-07,CHF
F325091,16,brokerage,65583.96,2024-10-10,CHF
N707192,16,savings,94704.31,2017-07-17,CHF
D685768,17,brokerage,87845.37,2023-02-03,CHF
P536612,17,savings,92991.02,2022-04-06,CHF
K793137,18,savings,11645.5,1990-04-12,CHF
O767070,18,savings,34309.9,1992-05-26,CHF
U863497,18,brokerage,23232.19,1972-01-14,CHF
L585687,19,savings,53955.71,2019-08-18,CHF
D450074,19,brokerage,28633.18,2022-07-01,CHF
C975130,20,brokerage,85396.08,2005-07-17,CHF
P746673,20,brokerage,11426.65,1986-07-24,CHF
S177553,21,checking,43990.15,2019-01-31,CHF
X139075,22,brokerage,78203.3,2011-05-20,CHF
N558415,22,savings,72962.45,1970-05-18,CHF
B478800,23,savings,22018.89,2021-10-10,CHF
W787339,24,checking,27527.55,2018-01-30,CHF
N794626,24,checking,98793.25,2011-12-30,CHF
Z923672,24,brokerage,70184.77,2009-03-29,CHF
V811759,25,checking,36425.0,2016-10-19,CHF
S787471,26,brokerage,4490.78,2010-04-10,CHF
F462298,26,savings,42149.63,2008-09-16,CHF
N516957,26,brokerage,99340.86,2008-12-16,CHF
N404475,27,brokerage,95396.1,1969-10-28,CHF
Z714067,27,savings,65660.36,2002-02-05,CHF
Y356501,28,brokerage,21422.43,2021-05-16,CHF
J357185,28,brokerage,51211.52,2022-05-26,CHF
V281421,29,checking,11096.18,2024-09-10,CHF
M478926,29,brokerage,10489.1,2024-08-28,CHF
G911344,30,brokerage,48742.24,2015-11-17,CHF
P457316,31,brokerage,4279.37,2015-04-05,CHF
O114046,31,brokerage,73355.21,1997-06-25,CHF
D608781,32,checking,31306.34,2009-01-04,CHF
E331050,32,savings,87100.87,2015-10-03,CHF
S642618,32,brokerage,6052.72,2009-01-14,CHF
E763751,33,brokerage,62219.49,2021-08-20,CHF
A295370,34,savings,39645.69,2021-09-26,CHF
N747402,34,savings,23561.78,2023-08-13,CHF
U462032,35,savings,17216.52,2015-06-02,CHF
F972798,36,checking,74620.11,2024-03-18,CHF
Q279473,37,brokerage,91932.24,1979-06-03,CHF
P796890,37,savings,74838.73,2001-03-03,CHF
F373838,37,savings,72121.2,1979-05-11,CHF
R893122,38,savings,38225.51,2022-06-18,CHF
B761583,38,brokerage,35178.31,2013-01-16,CHF
S170019,38,checking,80404.94,2015-01-04,CHF
L648576,39,checking,52370.95,2014-05-13,CHF
H119629,39,brokerage,14303.53,2020-05-21,CHF
H158851,39,checking,96100.56,2022-09-13,CHF
W833337,40,checking,10848.27,2014-01-10,CHF
Z284845,41,savings,56293.18,2014-12-18,CHF
R850630,41,savings,42981.72,2019-07-13,CHF
K446971,41,checking,85179.33,2022-02-22,CHF
V495518,42,savings,58649.12,2005-02-10,CHF
L180812,42,checking,35192.74,2017-11-08,CHF
L683994,42,checking,32556.04,2005-08-20,CHF
N798076,43,checking,15538.32,2001-10-02,CHF
X963477,44,checking,63777.64,1993-12-16,CHF
B287180,44,checking,79680.09,2018-06-07,CHF
G315432,44,savings,1449.25,2014-01-04,CHF
S949485,45,checking,32020.59,2020-05-21,CHF
H683556,46,brokerage,23419.03,2020-01-09,CHF
M919664,46,checking,47601.67,2017-04-01,CHF
N806679,47,brokerage,3699.39,2010-06-16,CHF
O994737,47,brokerage,74763.94,2024-04-26,CHF
L230369,48,savings,36647.87,2020-10-11,CHF
N728246,48,checking,87673.13,2010-08-17,CHF
T710518,49,checking,36968.8,1991-01-20,CHF
B898511,49,brokerage,4448.45,1977-04-20,CHF
M987518,49,brokerage,57262.52,1972-11-10,CHF
A619582,50,checking,14911.77,1988-03-14,CHF
C908706,51,savings,62999.82,2014-01-18,CHF
T123344,51,checking,69674.43,2010-05-03,CHF
S788386,52,brokerage,5789.34,2016-08-05,CHF
P484809,52,checking,10492.07,2017-02-28,CHF
T321979,53,checking,45427.2,2011-12-16,CHF
E820699,53,savings,90048.16,1995-02-26,CHF
D932682,53,savings,73347.01,1995-09-15,CHF
Y173776,54,checking,5198.52,1971-07-12,CHF
O607380,54,checking,17840.18,1975-06-24,CHF
B688974,55,brokerage,79330.24,2015-08-25,CHF
E124689,56,savings,68624.1,2019-12-03,CHF
V901404,57,savings,57548.03,1991-01-05,CHF
N103755,57,brokerage,31754.55,1992-01-11,CHF
A478996,58,savings,64758.65,2024-09-24,CHF
Y981721,58,savings,75157.48,2023-12-25,CHF
Q686304,59,checking,18883.48,2024-02-29,CHF
O667709,59,savings,93237.7,2015-06-01,CHF
H588763,60,savings,21913.97,1991-07-21,CHF
Y372435,61,savings,87809.97,1986-03-07,CHF
R236094,61,savings,94955.42,1971-02-11,CHF
Y565298,62,brokerage,92823.91,2024-12-25,CHF
F372906,63,checking,20776.7,2017-08-03,CHF
Z276002,63,checking,67594.13,2014-03-27,CHF
Y898590,64,savings,7770.64,2024-01-13,CHF
Y988886,64,brokerage,4154.43,2023-02-09,CHF
I278332,65,checking,16627.67,1991-08-26,CHF
L163330,66,brokerage,59191.83,1991-01-27,CHF
R643553,66,checking,1686.61,2004-04-01,CHF
O839331,67,savings,14987.55,2013-02-23,CHF
Y577709,67,savings,51557.76,2020-12-18,CHF
I337712,67,savings,32563.53,2018-06-21,CHF
O330341,68,brokerage,79541.15,2023-12-26,CHF
W633579,69,checking,61242.92,2016-04-04,CHF
O207466,70,checking,31239.21,2014-03-18,CHF
C431662,71,brokerage,45492.1,2024-09-14,CHF
R754641,71,checking,28662.69,2009-03-03,CHF
D390158,71,brokerage,84285.38,2014-01-02,CHF
K221827,72,brokerage,61468.69,1970-07-07,CHF
F320256,72,brokerage,35118.49,2005-03-24,CHF
I495721,72,savings,16207.58,1972-05-15,CHF
X163984,73,brokerage,33199.83,2005-06-30,CHF
D739552,74,checking,61841.99,2018-01-12,CHF
R327179,74,brokerage,36459.49,2023-03-05,CHF
F727663,75,brokerage,51644.24,2013-05-21,CHF
J677154,75,checking,13815.07,2013-07-16,CHF
P927104,76,brokerage,3888.13,1998-02-02,CHF
Z657494,77,checking,94299.5,2024-11-24,CHF
N209216,77,brokerage,65849.92,2021-07-24,CHF
T128210,77,savings,14377.55,2023-02-26,CHF
R770731,78,savings,16965.0,1979-04-06,CHF
J118830,78,brokerage,94693.26,2012-04-25,CHF
W414575,78,brokerage,42789.43,1984-11-11,CHF
E235022,79,savings,62776.81,2022-07-13,CHF
E105633,80,checking,91591.1,1999-03-29,CHF
B904202,80,checking,60063.78,2004-08-31,CHF
V719708,81,savings,27494.88,2024-01-12,CHF
R917813,81,savings,69858.84,2020-12-30,CHF
P815210,82,savings,92995.37,2021-04-18,CHF
P889148,82,savings,57116.06,1998-10-30,CHF
P531961,82,savings,47023.9,2003-07-07,CHF
U571242,83,checking,71363.0,2017-10-23,CHF
H357084,83,checking,47688.32,2015-06-26,CHF
K861659,84,brokerage,7750.02,2002-03-29,CHF
U236356,85,checking,79734.43,2018-05-20,CHF
O180800,85,savings,51473.24,2018-05-28,CHF
Z538344,86,checking,22412.86,1998-12-21,CHF
W542466,87,checking,7716.8,1988-11-06,CHF
R497432,87,checking,25016.21,1992-04-02,CHF
A150751,87,checking,93265.37,1993-06-18,CHF
F903140,88,brokerage,74102.82,2011-11-29,CHF
C948211,88,savings,43733.81,2012-10-05,CHF
Y324444,89,savings,67886.2,2020-01-29,CHF
U853478,90,checking,65753.09,2018-12-26,CHF
S792892,90,checking,97312.5,1991-08-31,CHF
R203473,91,checking,98629.09,2023-04-01,CHF
E388064,91,checking,2695.0,2024-12-05,CHF
P250897,91,brokerage,48879.49,2023-09-08,CHF
O382180,92,brokerage,41729.85,2017-06-16,CHF
I396345,92,checking,42222.96,2023-02-28,CHF
R566312,92,brokerage,5930.33,2020-08-19,CHF
V574880,93,checking,6646.37,2009-08-07,CHF
B723944,93,savings,51019.48,1975-11-01,CHF
K177196,94,savings,8393.05,2022-06-16,CHF
T205952,95,brokerage,28276.36,2012-01-17,CHF
K647952,96,brokerage,4801.88,1992-11-12,CHF
D731097,96,checking,67245.51,1988-11-28,CHF
H873133,97,savings,28259.41,2008-01-18,CHF
P138389,97,checking,69722.21,1984-08-30,CHF
J627309,98,savings,10560.81,2002-07-10,CHF
Z985085,98,brokerage,5297.0,1998-05-07,CHF
G875137,98,brokerage,80824.07,1981-09-28,CHF
S531629,99,savings,6902.24,2016-12-20,CHF
G208246,99,brokerage,54121.87,2013-04-25,CHF
F694704,100,brokerage,11922.81,2011-03-24,CHF
W395836,101,checking,66655.64,1970-07-01,CHF
S887171,101,checking,33027.62,2003-06-27,CHF
H556635,101,checking,37378.42,1977-05-12,CHF
K829262,102,brokerage,98831.6,2024-11-11,CHF
R335541,102,savings,31051.86,2024-11-10,CHF
